Date,Actual,Forecast
2019-08-13,3993,3446.993826977053
2019-08-14,3567,3389.588826977053
2019-08-15,3484,3267.8838269770526
2019-08-16,2994,2993.0638269770525
2019-08-17,1793,2420.5888269770526
2019-08-18,2422,2725.8938269770524
2019-08-19,4070,3535.6338269770526
2019-08-20,3987,3532.9438269770526
2019-08-21,3355,3260.4438269770526
2019-08-22,2925,2932.8588269770526
2019-08-23,3010,3034.043826977053
2019-08-24,1896,2485.208826977053
2019-08-25,2501,2729.913826977053
2019-08-26,3851,3451.4388269770525
2019-08-27,4403,3661.993826977053
2019-08-28,4627,3672.4388269770525
2019-08-29,4221,3686.493826977053
2019-08-30,3025,2997.723826977053
2019-08-31,1998,2511.373826977053
2019-09-01,2297,2668.6538269770526
2019-09-02,3192,3142.1588269770527
2019-09-03,4087,3574.703826977053
2019-09-04,4787,3861.143826977053
2019-09-05,4483,3667.703826977053
2019-09-06,3571,3273.473826977053
2019-09-07,2263,2588.9288269770527
2019-09-08,2948,2973.4288269770527
2019-09-09,4521,3841.9188269770525
2019-09-10,4563,3836.3238269770527
2019-09-11,4598,3841.9488269770527
2019-09-12,4603,3814.6088269770526
2019-09-13,3349,3283.668826977053
2019-09-14,2437,2706.918826977053
2019-09-15,3188,3238.243826977053
2019-09-16,5291,4104.508826977053
2019-09-17,5477,4143.503826977052
2019-09-18,5257,4136.128826977052
2019-09-19,5000,3999.248826977053
2019-09-20,3890,3478.128826977053
2019-09-21,2654,2922.4388269770525
2019-09-22,3656,3313.248826977053
2019-09-23,5223,4133.5638269770525
2019-09-24,5276,4165.1888269770525
2019-09-25,5476,4163.233826977053
2019-09-26,5196,4112.448826977053
2019-09-27,4052,3489.288826977053
2019-09-28,2635,2904.668826977053
2019-09-29,4076,3481.9288269770527
2019-09-30,5167,4162.243826977053
2019-10-01,4972,4084.4288269770527
2019-10-02,5143,4092.083826977053
2019-10-03,4753,3969.9088269770527
2019-10-04,3795,3572.788826977053
2019-10-05,2920,2980.1838269770524
2019-10-06,3950,3543.4688269770527
2019-10-07,5493,4262.953826977053
2019-10-08,5652,4399.728826977052
2019-10-09,5617,4277.113826977053
2019-10-10,5234,4155.588826977053
2019-10-11,4118,3692.228826977053
2019-10-12,2863,2992.1138269770527
2019-10-13,4032,3539.4288269770527
2019-10-14,5476,4322.868826977053
2019-10-15,5542,4369.223826977053
2019-10-16,5340,4304.508826977053
2019-10-17,5388,4252.473826977053
2019-10-18,4309,3672.3188269770526
2019-10-19,3117,3130.2988269770526
2019-10-20,4234,3608.6988269770527
2019-10-21,5698,4343.448826977053
2019-10-22,5721,4361.5638269770525
2019-10-23,6018,4572.788826977053
2019-10-24,5563,4346.238826977053
2019-10-25,4159,3639.5738269770527
2019-10-26,2732,2977.6538269770526
2019-10-27,3901,3538.4038269770526
2019-10-28,5749,4359.918826977053
2019-10-29,5821,4384.738826977053
2019-10-30,5647,4347.508826977053
2019-10-31,5219,4113.928826977053
2019-11-01,4054,3602.1988269770527
2019-11-02,2815,3019.6538269770526
2019-11-03,4253,3563.4888269770527
2019-11-04,5816,4380.818826977053
2019-11-05,5843,4381.888826977052
2019-11-06,6058,4485.488826977053
2019-11-07,6291,4637.053826977053
2019-11-08,4604,3876.5038269770525
2019-11-09,3354,3144.0538269770527
2019-11-10,4190,3629.2388269770527
2019-11-11,5931,4480.193826977053
2019-11-12,6443,4750.643826977053
2019-11-13,5805,4605.533826977053
2019-11-14,5753,4478.293826977053
2019-11-15,4709,3945.6338269770526
2019-11-16,3418,3275.7638269770528
2019-11-17,4821,3881.0488269770526
2019-11-18,6444,4816.213826977053
2019-11-19,6607,4802.668826977053
2019-11-20,6726,4814.608826977053
2019-11-21,6334,4711.513826977052
2019-11-22,4575,3793.683826977053
2019-11-23,3414,3264.6438269770524
2019-11-24,4535,3831.6388269770528
2019-11-25,5970,4713.038826977053
2019-11-26,5630,4466.518826977053
2019-11-27,5384,4197.298826977052
2019-11-28,4201,3777.788826977053
2019-11-29,3799,3643.9388269770525
2019-11-30,3301,3257.913826977053
2019-12-01,4420,3869.848826977053
2019-12-02,6384,4710.893826977053
2019-12-03,6964,4977.043826977053
2019-12-04,6957,4969.568826977053
2019-12-05,6350,4798.108826977053
2019-12-06,5324,4182.588826977053
2019-12-07,3795,3507.2638269770528
2019-12-08,5013,4086.018826977053
2019-12-09,7005,5142.198826977053
2019-12-10,6606,4927.0238269770525
2019-12-11,6686,5006.968826977052
2019-12-12,6163,4793.128826977052
2019-12-13,4581,3872.1688269770525
2019-12-14,2930,3164.7838269770527
2019-12-15,3585,3397.1538269770526
2019-12-16,4925,4098.198826977053
2019-12-17,4743,3941.0488269770526
2019-12-18,4716,3936.0738269770527
2019-12-19,3793,3518.2638269770528
2019-12-20,2688,2926.7188269770527
2019-12-21,1682,2336.7638269770528
2019-12-22,1880,2555.9688269770527
2019-12-23,2451,2816.4038269770526
2019-12-24,1644,2380.0088269770526
2019-12-25,1483,2287.0238269770525
2019-12-26,1864,2484.4688269770527
2019-12-27,1927,2470.1088269770526
2019-12-28,1679,2415.038826977053
2019-12-29,1962,2462.7838269770527
2019-12-30,2469,2754.163826977053
2019-12-31,1750,2365.7588269770526
2020-01-01,1554,2329.9488269770527
2020-01-02,2820,2968.6888269770525
2020-01-03,2970,3041.248826977053
2020-01-04,2111,2577.4038269770526
2020-01-05,2393,2743.713826977053
2020-01-06,3704,3448.9838269770526
2020-01-07,3760,3508.7988269770526
2020-01-08,3698,3485.3038269770527
2020-01-09,4243,3842.598826977053
2020-01-10,3177,3211.578826977053
2020-01-11,2361,2761.6138269770527
2020-01-12,2762,3107.3938269770524
2020-01-13,4298,3817.868826977053
2020-01-14,3838,3549.7738269770525
2020-01-15,3754,3535.9388269770525
2020-01-16,3817,3619.223826977053
2020-01-17,3175,3210.7388269770527
2020-01-18,2336,2917.213826977053
2020-01-19,2597,2969.8188269770526
2020-01-20,3715,3582.2388269770527
2020-01-21,4459,3921.833826977053
2020-01-22,4483,3961.6488269770525
2020-01-23,4225,3781.1088269770526
2020-01-24,3111,3277.6038269770524
2020-01-25,2353,2736.5638269770525
2020-01-26,3198,3313.7388269770527
2020-01-27,4432,3939.8038269770527
2020-01-28,4664,4002.8888269770528
2020-01-29,4471,3960.0538269770527
2020-01-30,4486,3941.728826977053
2020-01-31,3527,3397.333826977053
2020-02-01,2514,2941.8838269770526
2020-02-02,2993,3141.3838269770526
2020-02-03,4728,4041.4688269770527
2020-02-04,4883,4288.593826977052
2020-02-05,5071,4331.783826977053
2020-02-06,4638,4106.793826977053
2020-02-07,3757,3616.0938269770527
2020-02-08,2761,3065.4038269770526
2020-02-09,3423,3482.6138269770527
2020-02-10,5066,4326.153826977053
2020-02-11,4928,4321.783826977053
2020-02-12,4996,4304.198826977053
2020-02-13,5004,4125.423826977052
2020-02-14,3675,3622.0238269770525
2020-02-15,2556,2962.7788269770526
2020-02-16,3732,3446.333826977053
2020-02-17,4958,4283.193826977053
2020-02-18,4869,4162.253826977052
2020-02-19,5224,4314.048826977052
2020-02-20,4890,4132.693826977053
2020-02-21,3678,3509.828826977053
2020-02-22,2456,2957.4788269770524
2020-02-23,3444,3423.578826977053
2020-02-24,5000,4290.693826977053
2020-02-25,5496,4403.013826977052
2020-02-26,5059,4275.733826977053
2020-02-27,4813,4157.488826977053
2020-02-28,3810,3649.228826977053
2020-02-29,2682,3015.6988269770527
2020-03-01,3332,3447.9888269770527
2020-03-02,4872,4126.153826977053
2020-03-03,5097,4287.043826977053
2020-03-04,4714,4016.9038269770526
2020-03-05,5048,4309.138826977052
2020-03-06,3698,3473.6988269770527
2020-03-07,2670,2973.413826977053
2020-03-08,3416,3433.128826977053
2020-03-09,4731,4120.908826977053
2020-03-10,4820,4096.598826977053
2020-03-11,4813,4106.458826977053
2020-03-12,4393,3999.868826977053
2020-03-13,3316,3336.7688269770524
2020-03-14,2416,2836.1938269770526
2020-03-15,2934,3131.3038269770527
2020-03-16,2732,3071.7738269770525
2020-03-17,3805,3704.2388269770527
2020-03-18,3748,3665.538826977053
2020-03-19,3678,3574.833826977053
2020-03-20,3322,3333.2738269770525
2020-03-21,2701,2953.5638269770525
2020-03-22,3263,3288.7988269770526
2020-03-23,4105,3747.3438269770527
2020-03-24,4156,3782.5738269770527
2020-03-25,4153,3843.118826977053
2020-03-26,4256,3852.493826977053
2020-03-27,3818,3629.098826977053
2020-03-28,3045,3226.868826977053
2020-03-29,4079,3601.1738269770526
2020-03-30,4899,4098.9388269770525
2020-03-31,4943,4139.828826977053
2020-04-01,4907,4141.613826977053
2020-04-02,4933,4134.7738269770525
2020-04-03,4665,3948.833826977053
2020-04-04,3366,3322.9688269770527
2020-04-05,3976,3602.6288269770525
2020-04-06,4981,4278.538826977053
2020-04-07,5331,4373.868826977053
2020-04-08,5331,4422.733826977053
2020-04-09,5063,4316.248826977053
2020-04-10,4252,3870.493826977053
2020-04-11,3656,3399.3838269770526
2020-04-12,4152,3651.3638269770527
2020-04-13,5089,4295.223826977053
2020-04-14,5491,4446.8138269770525
2020-04-15,5665,4509.423826977052
2020-04-16,5423,4432.548826977052
2020-04-17,4688,4091.1938269770526
2020-04-18,4055,3662.643826977053
2020-04-19,4830,4115.908826977053
2020-04-20,5908,4720.348826977053
2020-04-21,5633,4604.5238269770525
2020-04-22,5786,4717.713826977053
2020-04-23,5967,4753.028826977053
2020-04-24,4937,4207.713826977053
2020-04-25,4327,3837.3888269770528
2020-04-26,5086,4353.6488269770525
2020-04-27,6038,4840.663826977053
2020-04-28,6324,4933.323826977053
2020-04-29,6062,4814.443826977053
2020-04-30,5520,4671.408826977053
2020-05-01,4670,4053.953826977053
2020-05-02,4171,3718.603826977053
2020-05-03,4716,4113.528826977053
2020-05-04,5939,4766.003826977052
2020-05-05,6361,4865.248826977053
2020-05-06,6659,5173.763826977052
2020-05-07,6264,4786.698826977053
2020-05-08,5359,4582.018826977053
2020-05-09,4593,3939.333826977053
2020-05-10,5092,4341.993826977053
2020-05-11,6563,5106.513826977052
2020-05-12,6124,4900.828826977053
2020-05-13,5817,4898.778826977053
2020-05-14,6057,4796.553826977053
2020-05-15,4958,4226.373826977053
2020-05-16,3651,3520.6838269770524
2020-05-17,4248,3918.9838269770526
2020-05-18,5624,4541.868826977053
2020-05-19,5595,4594.713826977053
2020-05-20,5213,4428.548826977052
2020-05-21,5156,4365.068826977053
2020-05-22,4350,3917.808826977053
2020-05-23,3446,3400.3588269770526
2020-05-24,3945,3642.038826977053
2020-05-25,4639,4073.4188269770525
2020-05-26,5224,4338.963826977053
2020-05-27,5242,4352.403826977053
2020-05-28,4939,4294.758826977053
2020-05-29,4387,3950.1388269770528
2020-05-30,3327,3318.743826977053
2020-05-31,3692,3505.3588269770526
2020-06-01,4734,4108.498826977053
2020-06-02,4727,4113.538826977053
2020-06-03,4994,4117.593826977052
2020-06-04,4767,4120.6488269770525
2020-06-05,4124,3835.993826977053
2020-06-06,3230,3228.6588269770527
2020-06-07,3906,3634.6488269770525
2020-06-08,4895,4092.7588269770526
2020-06-09,4871,4045.2938269770525
2020-06-10,4989,4124.703826977053
2020-06-11,4633,3978.2188269770527
2020-06-12,4475,3856.083826977053
2020-06-13,2967,3145.7338269770526
2020-06-14,3507,3393.6088269770526
